[GHC-10190] "DsEmptyEnumeration"
[GHC-04214] "DsIdentitiesFound"
[GHC-97441] "DsOverflowedLiterals"
[GHC-38520] "DsRedundantBangPatterns"
[GHC-53633] "DsOverlappingPatterns"
[GHC-94210] "DsInaccessibleRhs"
[GHC-61505] "DsMaxPmCheckModelsReached"
[GHC-62161] "DsNonExhaustivePatterns"
[GHC-48099] "DsTopLevelBindsNotAllowed"
[GHC-93315] "DsUselessSpecialiseForClassMethodSelector"
[GHC-38524] "DsUselessSpecialiseForNoInlineFunction"
[GHC-59840] "DsMultiplicityCoercionsNotSupported"
[GHC-58181] "DsOrphanRule"
[GHC-69441] "DsRuleLhsTooComplicated"
[GHC-00828] "DsRuleIgnoredDueToConstructor"
[GHC-40548] "DsRuleBindersNotBound"
[GHC-17879] "DsLazyPatCantBindVarsOfUnliftedType"
[GHC-65904] "DsNotYetHandledByTH"
[GHC-19551] "DsAggregatedViewExpressions"
[GHC-21030] "DsUnbangedStrictPatterns"
[GHC-20036] "DsCannotMixPolyAndUnliftedBindings"
[GHC-08838] "DsWrongDoBind"
[GHC-81995] "DsUnusedDoBind"
[GHC-20185] "DsRecBindsNotAllowedForUnliftedTys"
[GHC-95396] "DsRuleMightInlineFirst"
[GHC-87502] "DsAnotherRuleMightFireFirst"
[GHC-17335] "DsIncompleteRecordSelector"
[GHC-68686] "PsErrParseLanguagePragma"
[GHC-46537] "PsErrUnsupportedExt"
[GHC-24342] "PsErrParseOptionsPragma"
[GHC-04924] "PsErrUnknownOptionsPragma"
[GHC-03272] "PsWarnBidirectionalFormatChars"
[GHC-94817] "PsWarnTab"
[GHC-93617] "PsWarnTransitionalLayout"
[GHC-47082] "PsWarnOperatorWhitespaceExtConflict"
[GHC-40798] "PsWarnOperatorWhitespace"
[GHC-94458] "PsWarnHaddockInvalidPos"
[GHC-05641] "PsWarnHaddockIgnoreMulti"
[GHC-21887] "PsWarnStarBinder"
[GHC-39567] "PsWarnStarIsType"
[GHC-42044] "PsWarnUnrecognisedPragma"
[GHC-28007] "PsWarnMisplacedPragma"
[GHC-07924] "PsWarnImportPreQualified"
[GHC-21231] "PsErrLexer"
[GHC-75725] "PsErrCmmLexer"
[GHC-09848] "PsErrCmmParser"
[GHC-58481] "PsErrParse"
[GHC-84077] "PsErrTypeAppWithoutSpace"
[GHC-27207] "PsErrLazyPatWithoutSpace"
[GHC-95644] "PsErrBangPatWithoutSpace"
[GHC-45106] "PsErrInvalidInfixHole"
[GHC-44524] "PsErrExpectedHyphen"
[GHC-76176] "PsErrSpaceInSCC"
[GHC-11861] "PsErrEmptyDoubleQuotes"
[GHC-51179] "PsErrLambdaCase"
[GHC-71614] "PsErrEmptyLambda"
[GHC-31574] "PsErrLinearFunction"
[GHC-28985] "PsErrMultiWayIf"
[GHC-82135] "PsErrOverloadedRecordUpdateNotEnabled"
[GHC-62330] "PsErrNumUnderscores"
[GHC-79767] "PsErrIllegalBangPattern"
[GHC-26832] "PsErrOverloadedRecordDotInvalid"
[GHC-89515] "PsErrIllegalPatSynExport"
[GHC-94863] "PsErrOverloadedRecordUpdateNoQualifiedFields"
[GHC-25955] "PsErrExplicitForall"
[GHC-40280] "PsErrIllegalQualifiedDo"
[GHC-54089] "PsErrQualifiedDoInCmd"
[GHC-28021] "PsErrRecordSyntaxInPatSynDecl"
[GHC-13248] "PsErrEmptyWhereInPatSynDecl"
[GHC-24737] "PsErrInvalidWhereBindInPatSynDecl"
[GHC-65536] "PsErrNoSingleWhereBindInPatSynDecl"
[GHC-08451] "PsErrDeclSpliceNotAtTopLevel"
[GHC-42569] "PsErrMultipleNamesInStandaloneKindSignature"
[GHC-47007] "PsErrIllegalExplicitNamespace"
[GHC-85314] "PsErrUnallowedPragma"
[GHC-87491] "PsErrImportPostQualified"
[GHC-05661] "PsErrImportQualifiedTwice"
[GHC-81284] "PsErrIllegalImportBundleForm"
[GHC-50396] "PsErrInvalidRuleActivationMarker"
[GHC-16849] "PsErrMissingBlock"
[GHC-09550] "PsErrUnsupportedBoxedSumExpr"
[GHC-16863] "PsErrUnsupportedBoxedSumPat"
[GHC-73413] "PsErrUnexpectedQualifiedConstructor"
[GHC-09646] "PsErrTupleSectionInPat"
[GHC-24180] "PsErrOpFewArgs"
[GHC-18208] "PsErrVarForTyCon"
[GHC-26204] "PsErrMalformedEntityString"
[GHC-70712] "PsErrDotsInRecordUpdate"
[GHC-46574] "PsErrInvalidDataCon"
[GHC-30670] "PsErrInvalidInfixDataCon"
[GHC-80236] "PsErrIllegalPromotionQuoteDataCon"
[GHC-40845] "PsErrUnpackDataCon"
[GHC-83653] "PsErrUnexpectedKindAppInDataCon"
[GHC-08195] "PsErrInvalidRecordCon"
[GHC-69925] "PsErrIllegalUnboxedStringInPat"
[GHC-76595] "PsErrIllegalUnboxedFloatingLitInPat"
[GHC-06446] "PsErrDoNotationInPat"
[GHC-45696] "PsErrIfThenElseInPat"
[GHC-53786] "PsErrCaseInPat"
[GHC-78892] "PsErrLetInPat"
[GHC-00482] "PsErrLambdaInPat"
[GHC-04584] "PsErrArrowExprInPat"
[GHC-98980] "PsErrArrowCmdInPat"
[GHC-66043] "PsErrArrowCmdInExpr"
[GHC-66228] "PsErrViewPatInExpr"
[GHC-12178] "PsErrLambdaCmdInFunAppCmd"
[GHC-92971] "PsErrCaseCmdInFunAppCmd"
[GHC-97005] "PsErrIfCmdInFunAppCmd"
[GHC-70526] "PsErrLetCmdInFunAppCmd"
[GHC-77808] "PsErrDoCmdInFunAppCmd"
[GHC-52095] "PsErrDoInFunAppExpr"
[GHC-67630] "PsErrMDoInFunAppExpr"
[GHC-06074] "PsErrLambdaInFunAppExpr"
[GHC-25037] "PsErrCaseInFunAppExpr"
[GHC-90355] "PsErrLetInFunAppExpr"
[GHC-01239] "PsErrIfInFunAppExpr"
[GHC-04807] "PsErrProcInFunAppExpr"
[GHC-47568] "PsErrMalformedTyOrClDecl"
[GHC-36952] "PsErrIllegalWhereInDataDecl"
[GHC-87429] "PsErrIllegalDataTypeContext"
[GHC-43080] "PsErrPrimStringInvalidChar"
[GHC-33856] "PsErrSuffixAT"
[GHC-25078] "PsErrPrecedenceOutOfRange"
[GHC-75254] "PsErrSemiColonsInCondExpr"
[GHC-18910] "PsErrSemiColonsInCondCmd"
[GHC-08382] "PsErrAtInPatPos"
[GHC-66418] "PsErrParseErrorOnInput"
[GHC-85316] "PsErrMalformedDecl"
[GHC-25742] "PsErrNotADataCon"
[GHC-57342] "PsErrInferredTypeVarNotAllowed"
[GHC-65719] "PsErrIllegalTraditionalRecordSyntax"
[GHC-03790] "PsErrParseErrorInCmd"
[GHC-07626] "PsErrInPat"
[GHC-09009] "PsErrIllegalRoleName"
[GHC-94426] "PsErrInvalidTypeSignature"
[GHC-77878] "PsErrUnexpectedTypeInDecl"
[GHC-21926] "PsErrInvalidPackageName"
[GHC-72516] "PsErrParseRightOpSectionInPat"
[GHC-37475] "PsErrIllegalGadtRecordMultiplicity"
[GHC-72744] "PsErrInvalidCApiImport"
[GHC-05380] "PsErrMultipleConForNewtype"
[GHC-31623] "PsErrUnicodeCharLooksLike"
[GHC-52943] "PsErrInvalidPun"
[GHC-32850] "DriverMissingHomeModules"
[GHC-38189] "DriverUnknownHiddenModules"
[GHC-68286] "DriverUnknownReexportedModules"
[GHC-42258] "DriverUnusedPackages"
[GHC-88907] "DriverUnnecessarySourceImports"
[GHC-29235] "DriverDuplicatedModuleDeclaration"
[GHC-82272] "DriverModuleNotFound"
[GHC-28623] "DriverFileModuleNameMismatch"
[GHC-66004] "DriverUnexpectedSignature"
[GHC-49196] "DriverFileNotFound"
[GHC-77799] "DriverStaticPointersNotSupported"
[GHC-19971] "DriverBackpackModuleNotFound"
[GHC-56147] "DriverUserDefinedRuleIgnored"
[GHC-70172] "DriverMixedSafetyImport"
[GHC-37141] "DriverCannotLoadInterfaceFile"
[GHC-58656] "DriverInferredSafeModule"
[GHC-19244] "DriverMarkedTrustworthyButInferredSafe"
[GHC-82658] "DriverInferredSafeImport"
[GHC-44360] "DriverCannotImportUnsafeModule"
[GHC-29747] "DriverMissingSafeHaskellMode"
[GHC-08674] "DriverPackageNotTrusted"
[GHC-75165] "DriverCannotImportFromUntrustedPackage"
[GHC-95379] "DriverRedirectedNoMain"
[GHC-03271] "DriverHomePackagesNotClosed"
[GHC-74335] "DriverInconsistentDynFlags"
[GHC-98887] "DriverSafeHaskellIgnoredExtension"
[GHC-83552] "DriverPackageTrustIgnored"
[GHC-93741] "DriverUnrecognisedFlag"
[GHC-53692] "DriverDeprecatedFlag"
[GHC-97739] "BadTelescope"
[GHC-64725] "UserTypeError"
[GHC-22250] "UnsatisfiableError"
[GHC-88464] "ReportHoleError"
[GHC-55287] "FixedRuntimeRepError"
[GHC-06200] "BlockedEquality"
[GHC-81325] "ExpectingMoreArguments"
[GHC-91416] "UnboundImplicitParams"
[GHC-78125] "AmbiguityPreventsSolvingCt"
